CPU,年代,主频,SIMD,GFLOPS,GB/s,含SIMD比例,无SIMD比例
DEC Alpha 21264,1996,600MHz,-,1.2,2,0.6,0.6
AMD K7 Athlon,1999,700MHz,-,1.4,1.6,0.88,0.88
Intel Pentium III,1999,600MHz,-,0.6,0.8,0.75,0.75
Intel Pentium IV,2001,1.5GHz,-,3,3.2,0.94,0.94
Intel Core2 E6420 X2,2007,2.8GHz,128位,22.4,8.5,2.64,1.32
AMD K10 Phenom II X4 955,2009,3.2GHz,128位,51.2,21.3,2.4,1.2
Intel Nehalem X5560,2009,2.8GHz,128位,44.8,32,1.4,0.7
IBM Power8,2014,5.0GHz,128位,480,230.4,2.08,1.04
AMD Piledriver Fx8350,2014,4.0GHz,256位,128,29.9,4.29,1.07
Intel Skylake E3-1230 V5,2015,3.4GHz,256位,217.6,34.1,6.38,1.6
龙芯3A2000,2015,1.0GHz,-,16,16,1,1
龙芯3A5000,2020,2.5GHz,256位,160.0,51.2,3.13,0.78
