SPEC CPU2006,loongson 3A5000,zen1 r3-1200,Skylake i3 9100f
400.perlbench,20.30%,22.00%,22.10%
401.bzip2,14.80%,15.80%,16.70%
403.gcc,19.30%,21.10%,25.70%
429.mcf,32.50%,22.80%,22.30%
445.gobmk,18.80%,18.90%,19.20%
456.hmmer,7.60%,8.50%,9.80%
458.sjeng,19.80%,20.00%,19.90%
462.libquantum,31.70%,29.50%,29.50%
464.h264ref,5.50%,6.90%,9.00%
471.omnetpp,25.10%,25.30%,24.30%
473.astar,23.20%,18.00%,18.10%
483.xalancbmk,30.10%,29.80%,29.90%
SPECint_2006,18.50%,18.40%,19.30%
410.bwaves,3.00%,2.40%,2.70%
416.gamess,6.60%,8.30%,8.60%
433.milc,1.20%,2.10%,2.10%
434.zeusmp,4.90%,1.60%,2.70%
435.gromacs,4.00%,3.00%,3.00%
436.cactusADM,0.20%,0.20%,0.60%
437.leslie3d,5.90%,4.70%,16.60%
444.namd,5.80%,5.40%,5.40%
447.dealII,17.50%,19.30%,19.60%
450.soplex,18.60%,19.30%,20.80%
453.povray,14.40%,16.80%,16.40%
454.calculix,5.60%,6.00%,6.70%
459.GemsFDTD,3.20%,3.10%,7.60%
465.tonto,7.00%,6.10%,10.00%
470.lbm,1.30%,1.40%,1.40%
481.wrf,7.80%,9.70%,11.40%
482.sphinx3,11.10%,12.00%,11.10%
SPECfp_2006,4.60%,4.50%,5.90%
