SPEC CPU2006,loongson 3A5000,zen1 r3-1200,skylake i3 9100f,zen1/3A5000,skylake/3A5000
400.perlbench,2.54,2.45,2.72,96.50%,107.10%
401.bzip2,1.86,1.73,1.68,93.00%,90.30%
403.gcc,1.1,1.1,1.22,100.00%,110.90%
429.mcf,0.32,0.33,0.45,103.10%,140.60%
445.gobmk,1.42,1.05,1.12,73.90%,78.90%
456.hmmer,2.97,2.57,2.68,86.50%,90.20%
458.sjeng,1.81,1.33,1.68,73.50%,92.80%
462.libquantum,1.42,1.67,1.88,117.60%,132.40%
464.h264ref,2.69,2.5,2.38,92.90%,88.50%
471.omnetpp,0.54,0.57,0.73,105.60%,135.20%
473.astar,0.89,0.79,0.77,88.80%,86.50%
483.xalancbmk,1.4,1.3,1.84,92.90%,131.40%
SPECint_rate2006,1.34,1.24,1.4,92.90%,105.00%
410.bwaves,1.42,1.9,1.41,133.80%,99.30%
416.gamess,2.97,2.82,2.92,94.90%,98.30%
433.milc,0.4,0.97,0.81,242.50%,202.50%
434.zeusmp,1.39,2.01,1.68,144.60%,120.90%
435.gromacs,1.31,2.32,2.13,177.10%,162.60%
436.cactusADM,1.79,1.72,1.44,96.10%,80.40%
437.leslie3d,0.91,1.38,0.93,151.60%,102.20%
444.namd,1.66,1.75,1.94,105.40%,116.90%
447.dealII,1.52,1.79,1.7,117.80%,111.80%
450.soplex,0.84,0.94,1.02,111.90%,121.40%
453.povray,2.06,2.12,2.6,102.90%,126.20%
454.calculix,1.66,2.3,2.16,138.60%,130.10%
459.GemsFDTD,0.88,1.27,0.82,144.30%,93.20%
465.tonto,2.33,2.27,2.53,97.40%,108.60%
470.lbm,0.74,1.62,1.79,218.90%,241.90%
481.wrf,1.67,1.95,1.73,116.80%,103.60%
482.sphinx3,1.52,1.55,1.85,102.00%,121.70%
SPECfp_rate2006,1.34,1.73,1.62,129.70%,121.00%
