CPU2006 rate4,loongson 3A5000,Zen1 r3-1200,skylake i3 9100f,zen1/3A5000,skylake/3A5000
400.perlbench,102,125,136,122.50%,133.30%
401.bzip2,64.4,69.6,67.7,108.10%,105.10%
403.gcc,75.5,107,121,141.70%,160.30%
429.mcf,50.5,81.3,88.3,161.00%,174.90%
445.gobmk,95.8,79.7,85.4,83.20%,89.10%
456.hmmer,128,184,214,143.80%,167.20%
458.sjeng,86,71.3,89.2,82.90%,103.70%
462.libquantum,89.2,154,121,172.60%,135.70%
464.h264ref,147,178,201,121.10%,136.70%
471.omnetpp,45,54.8,60,121.80%,133.30%
473.astar,58.6,57.1,55.9,97.40%,95.40%
483.xalancbmk,68.6,90.2,111,131.50%,161.80%
SPECint2006,79.39,95.99,103.16,120.90%,129.90%
410.bwaves,82.1,210,152,255.80%,185.10%
416.gamess,84.8,114,119,134.40%,140.30%
433.milc,44.6,103,83.2,230.90%,186.50%
434.zeusmp,83.6,179,190,214.10%,227.30%
435.gromacs,58.3,103,92.2,176.70%,158.10%
436.cactusADM,114,193,256,169.30%,224.60%
437.leslie3d,68.3,114,96,166.90%,140.60%
444.namd,80,85.8,94.7,107.30%,118.40%
447.dealII,142,187,176,131.70%,123.90%
450.soplex,62.9,99,101,157.40%,160.60%
453.povray,149,136,155,91.30%,104.00%
454.calculix,62,116,118,187.10%,190.30%
459.GemsFDTD,53.4,98.2,80.7,183.90%,151.10%
465.tonto,106,98.7,136,93.10%,128.30%
470.lbm,51.1,99.4,87.3,194.50%,170.80%
481.wrf,92.1,175,164,190.00%,178.10%
482.sphinx3,81.3,125,139,153.80%,171.00%
SPECfp2006,78.65,126.28,124.86,160.60%,158.80%
