SPEC CPU2006,loongson 3A5000,zen1 r3-1200,skylake i3 9100f,zen1/3A5000,skylake/3A5000
400.perlbench,29.1,31.4,35.3,107.90%,121.30%
401.bzip2,17.3,18.5,19.2,106.90%,111.00%
403.gcc,23.9,30.8,38.1,128.90%,159.40%
429.mcf,27.1,27.6,37,101.80%,136.50%
445.gobmk,25.6,20.1,21.7,78.50%,84.80%
456.hmmer,39.2,46.2,54.7,117.90%,139.50%
458.sjeng,22.4,17.8,22.5,79.50%,100.40%
462.libquantum,78.8,141,123,178.90%,156.10%
464.h264ref,38,45.1,51,118.70%,134.20%
471.omnetpp,18.1,17.2,21.2,95.00%,117.10%
473.astar,19.3,15.6,15.8,80.80%,81.90%
483.xalancbmk,28.7,25.9,36.9,90.20%,128.60%
SPECint2006,27.87,29.05,33.47,104.20%,120.10%
410.bwaves,54.4,99.1,85.2,182.20%,156.60%
416.gamess,22.9,28.4,30.2,124.00%,131.90%
433.milc,18,38.8,32.3,215.60%,179.40%
434.zeusmp,25,51,56.2,204.00%,224.80%
435.gromacs,15.3,25.8,23.5,168.60%,153.60%
436.cactusADM,84.8,135,228,159.20%,268.90%
437.leslie3d,36.2,48.2,62.8,133.10%,173.50%
444.namd,20.7,21.5,23.8,103.90%,115.00%
447.dealII,39.8,48.7,46.7,122.40%,117.30%
450.soplex,28.5,34.6,39.8,121.40%,139.60%
453.povray,39.1,34.2,41.5,87.50%,106.10%
454.calculix,17.6,29.2,30.1,165.90%,171.00%
459.GemsFDTD,35.2,65.1,56.7,184.90%,161.10%
465.tonto,28.4,25.2,37.2,88.70%,131.00%
470.lbm,28.8,67.5,74.6,234.40%,259.00%
481.wrf,36.5,53.9,65,147.70%,178.10%
482.sphinx3,34.1,40.6,48.4,119.10%,141.90%
SPECfp2006,30.29,43.85,48.34,144.80%,159.60%
