定点测试程序,语言,分类,描述
400.perlbench,C,Perl编程语言,Perl脚本程序，包括垃圾邮件检测程序SpamAssassin、邮件索引器MHonArc和specdiff
401.bzip2,C,压缩,bzip2压缩程序，输入包括JPEG图片、源代码、HTML文件和混合文件等，使用不同的压缩级别进行压缩和解压缩
403.gcc,C,C编译器,基于gcc 3.2编译器，产生Opteron的代码
429.mcf,C,组合优化,一个用于大型公共交通的单车场车辆调度程序，使用了商业产品中常用的网络单纯形算法
445.gobmk,C,人工智能，围棋go,下围棋游戏，读入围棋格式文件，然后执行一些命令，根据围棋规则分析当前的局势，决定更为有利的下一步走法
456.hmmer,C,基因序列搜索,使用Profile隐马尔可夫模型（HMM），进行蛋白质基因序列分析
458.sjeng,C,人工智能，棋类游戏,一个排名很高的棋类游戏，属于棋类树的搜索和模式识别，通过组合alpha-beta剪枝或proof-number树搜索、形式判断、启发式前向修剪来寻找最佳的棋子移动
462.libquantum,C,物理，量子计算,模拟了一台量子计算机，执行了Shor多项式时间因式分解算法
464.h264ref,C,视频压缩,视频压缩标准H.264/AVC的一种参考设计，基于h264avc 9.3版本，使用两个参数组对YUV格式源文件进行H.264编码
471.omnetpp,C++,离散时间模拟,使用OMNet++离散时间模拟器对一个大型的校园网络进行建模，包括8000台计算机和900个交换机以及各种以太网协议
473.astar,C++,路径寻找算法,二维地图的寻路算法库，常用于游戏中的人工智能，实现了三种不同类型的A*算法
483.xalancbmk,C++,XML处理,将XML文档转换为HTML、纯文本或者其他XML格式的文档。是Xalan-C++的一个修改版本，Xalan-C++实现了XSL转换和XML Path语言
浮点测试程序,语言,分类,描述
410.bwaves,Fortran,流体动力学,对三维瞬间跨音速粘性流体层流冲击波的模拟计算。该算法实现了非压缩Navier-Stokes等式的全隐式无分裂求解，采用了Bi-CGstab算法，迭代求解了非对称线性方程组
416.gamess,Fortran,量子化学,源自量子化学计算用得最广的GAMESS（从头计算量子化学程序）。采用三种SCF自洽场方法（RHF、ROHF、MCSCF）对胞嘧啶分子、水和Cu2+离子、三唑离子进行自洽场计算
433.milc,C,物理，量子色动力学（QCD）,来自MIMD格计算（MILC）、四维SU(3)格点规范理论的模拟，用来研究QCD量子色动力学、夸克和胶子，采用了su3imp程序的串行版本
434.zeusmp,Fortran,物理，计算流体动力学（CFD）,伊利诺伊大学香槟分校开发的计算流体动力学程序，用于模拟天体物理现象。模拟了一个沿着X轴方向统一磁场中的三维冲击波
435.gromacs,C/ Fortran,生物化学，分子动力学,计算数百到数百万粒子的牛顿运动方程。模拟了一个在水和离子溶液中的蛋白质溶菌酶结构在各种实验手段如核磁共振的X光照射下的变化
436.cactusADM,C/ Fortran,物理，广义相对论,采用交错超越的数值分析方法，对时空曲率由内部物质决定的爱因斯坦演化方程进行求解，演化方程由10个标准的ADM 3+1分解的二阶非线性偏微分方程组成
437.leslie3d,Fortran,流体动力学,来自三维大涡模拟和线性涡流模型，其使用麦科马克预测校正时间积分方法，用来计算湍流的计算流体力学程序。计算了一个如燃油注入燃烧室的时间分层混合流体
444.namd,C++,生物学，分子动力学,源自并行程序NAMD，其模拟了大规模的生物分子系统。namd.input模拟了92224个原子组成的A-I载脂蛋白，ref有38次迭代
447.dealII,C++,有限元分析,计算自适应有限元和误差估计。对非常系数的亥姆霍兹方程进行求解，使用了基于二元加权误差估计生成最佳网络的自适应方法
450.soplex,C++,线性规划，优化,使用了单纯型算法和松弛线性算法求解线性方程。测试模拟包括铁路规划和军用空运规划的物理模型
453.povray,C++,图像光线跟踪,光线跟踪是一种渲染技术，通过模拟真实世界的光线传输方式计算实景的影像。该计算基于柏林噪声函数，渲染一幅1280x1024的反锯齿国际象棋棋盘图像
454.Calculix,C/ Fortran,结构力学,使用SPOOLES求解器库，进行线性和非线性三维结构力学的有限元分析。计算了一个高速旋转压气盘在离心力作用下的应力和变形情况
459.GemsFDTD,Fortran,计算电磁学,使用了FDTD（有限差分时域）方法求解三维时域中的麦克斯韦方程，计算了一个理想导体的雷达散射界面
465.tonto,Fortran,量子化学,面向对象的从头算量子化学包。模拟了量子晶体学领域计算，设置约束于分子的HF波函数，更好地匹配X光衍射实验数据
470.lbm,C,流体动力学,实现了格子玻尔兹曼方法（LBM），模拟在三维空间的非压缩流体，常用于材料科学中模拟流体的行为
481.wrf,C/ Fortran,天气预报,基于WRF模型，是下一代中等规模数值天气预报系统，用于天气预报和大气研究，模拟30公里区域和两天内的天气
482.sphinx3,C,语音识别,基于卡内基-梅隆大学开发的著名的语音识别软件，使用了AN4数据库，输入为原始的音频格式，输出为识别出来的话语
