事件号,事件名称,事件定义
00H,clkcnt,时钟周期数
01H,roq_cmtcnt,提交指令数
02H,brq_branch,brq返回分支指令数
03H,brq_err_branch,brq返回预测错误分支指令数
04H,dtlb_access_cnt,数据tlb访问次数
08H,dcache_access,一级数据Cache访问次数
09H,dcache_miss,一级数据Cache缺失次数
0AH,vcache_access,victim_cache访问次数
0BH,vcache_miss,victim_cache缺失次数
0CH,scres_total,三级Cache访问次数
0DH,scres_miss,三级Cache缺失次数
24H,roq_vecfp_cmtcnt,处理器提交向量浮点运算指令数
25H,roq_vecint_cmtcnt,处理器提交向量定点运算指令数
27H,roq_ex_cnt,处理器中例外次数
29H,brq_bhtbrq,返回条件跳转类分支指令数
2AH,brq_err_bht,brq返回条件跳转类错误预测分支指令数
2FH,ade_ualign_cnt,发生不对齐访问错误次数
32H,roq_load_cmtcnt,处理器提交load指令数
33H,roq_store_cmtcnt,处理器提交store指令数
34H,roq_scaint_cmtcnt,处理器提交标量定点运算指令数
40H,roq_cmt_4inst,提交阻塞周期数
41H,dec_deliver_stall,前端阻塞周期数
42H,be_stall,后端阻塞周期数
4CH,fxq_stall,定点发射队列阻塞周期数
4EH,mmq_stall,访存发射队列阻塞周期数
4FH,ftq_stall,浮点发射队列阻塞周期数
