引脚名称,方向,描述
AWID[n:0],输出,写请求标识号
AWADDR[m:0],输出,写请求地址
AWSIZE[2:0],输出,写请求数据宽度
AWLEN[3:0],输出,写请求数据长度
AWBURST[1:0],输出,写请求类型
AWAVALID,输出,写请求有效信号
AWREADY,输入,写请求接收准备好信号
WID[n:0],输出,写数据标识号，与写请求标识号对应
WDATA[j:0],输出,写数据
WSTRB[k:0],输出,写数据屏蔽信号，1位对应8个数据位
WVALID,输出,写数据有效信号
WREADY,输入,写数据接收准备好信号
BID[n:0],输入,写响应标识号，与写请求标识号对应
BRESP[1:0],输入,写响应状态
WVALID,输入,写响应有效信号
WREADY,输出,写响应接收准备好信号
ARID[n:0],输出,读请求标识号
ARADDR[m:0],输出,读请求地址
ARSIZE[2:0],输出,读请求数据宽度
ARLEN[3:0],输出,读请求数据长度
ARBURST[1:0],输出,读请求类型
ARAVALID,输出,读请求有效信号
ARREADY,输入,读请求接收准备好信号
RID[n:0],输入,读数据标识号，与读请求标识号对应
RDATA[j:0],输入,读数据
RRESP[1:0],输入,读响应状态
RVALID,输入,读数据有效信号
RREADY,输出,写读数据接收准备好信号
